WRNIP1	196,196,196

WT1	103,119,117

WT1_minusKTS	103,119,117

WT1_plusKTS	103,119,117

XBP1	224,252,56

XRCC3	236,219,67

XRCC4	196,168,112

XRCC5	113,58,75

YAP	5,234,242

YAP1	224,28,140

YBX1	58,135,11

YBX3	78,17,150

YEATS4	91,79,233

YY1	168,112,140

YY2	142,211,25

ZBED1	196,168,224

ZBED5	212,185,234

ZBTB1	208,44,25

ZBTB10	70,67,181

ZBTB11	196,196,168

ZBTB12	218,70,141

ZBTB14	79,96,99

ZBTB16	28,84,252

ZBTB17	186,116,59

ZBTB18	52,22,17

ZBTB2	138,40,254

ZBTB20	105,207,28

ZBTB21	221,51,217

ZBTB24	166,238,67

ZBTB25	234,123,200

ZBTB26	188,147,123

ZBTB33	252,224,252

ZBTB40	73,149,46

ZBTB42	43,91,240

ZBTB44	181,74,35

ZBTB48	19,42,80

ZBTB49	176,186,46

ZBTB5	215,95,8

ZBTB6	133,57,120

ZBTB7A	196,28,252

ZBTB7B	239,73,188

ZBTB8A	106,132,68

ZC3H11A	196,196,252

ZC3H8	224,252,84

ZEB1	168,84,140

ZEB2	196,196,28

ZFHX2	214,26,116

ZFHX4	140,56,168

ZFP1	232,67,227

ZFP14	56,161,145

ZFP28	102,67,171

ZFP3	109,44,173

ZFP36	196,224,112

ZFP37	140,20,229

ZFP41	225,184,154

ZFP42	154,210,164

ZFP57	84,26,128

ZFP64	161,80,254

ZFP69	144,217,10

ZFP69B	27,163,3

ZFP82	183,248,145

ZFP90	183,25,123

ZFP91	123,72,171

ZFX	56,196,224

ZFY	132,14,73

ZGPAT	184,177,231

ZHX1	196,224,140

ZHX2	196,224,168

ZIC2	156,0,155

ZIK1	64,172,228

ZIM2_1	193,183,231

ZIM3	236,96,229

ZKSCAN1	140,252,140

ZKSCAN2	198,82,49

ZKSCAN3	253,41,180

ZKSCAN5	127,238,182

ZKSCAN8	196,224,84

ZMIZ1	196,252,168

ZMYM2	222,36,75

ZMYM3	63,192,22

ZMYND11	28,140,140

ZMYND8	250,172,237

ZNF10	26,53,142

ZNF100	179,19,130

ZNF101	50,69,162

ZNF112	155,73,1

ZNF114	114,10,119

ZNF12	19,9,40

ZNF121	41,113,139

ZNF124	101,175,136

ZNF132	175,69,118

ZNF133	70,114,238

ZNF134	111,230,139

ZNF135	22,115,241

ZNF136	218,30,3

ZNF138	238,248,83

ZNF140	161,198,249

ZNF141	59,220,111

ZNF143	252,196,196

ZNF146	10,135,111

ZNF148	149,73,54

ZNF154	196,222,96

ZNF155	195,117,6

ZNF157	240,203,213

ZNF16	136,237,193

ZNF165	84,56,224

ZNF169	241,149,152

ZNF17	81,107,230

ZNF174	187,28,133

ZNF175	196,252,224

ZNF18	40,212,186

ZNF180	125,54,30

ZNF181	12,108,83

ZNF182	26,109,158

ZNF184	157,198,124

ZNF189	252,236,163

ZNF19	190,243,131

ZNF195	189,8,85

ZNF197	56,76,206

ZNF2	1,71,234

ZNF202	93,103,222

ZNF205	242,252,38

ZNF207	196,28,168

ZNF211	139,60,196

ZNF212	116,186,50

ZNF213	128,245,5

ZNF214	120,235,219

ZNF217	56,168,112

ZNF22	83,183,72

ZNF221	31,84,104

ZNF222	241,101,88

ZNF223	51,82,85

ZNF224	145,111,222

ZNF225	164,132,228

ZNF23	187,77,241

ZNF235	213,162,121

ZNF239	5,150,215

ZNF24	196,28,28

ZNF248	107,2,155

ZNF25	236,88,64

ZNF250	212,43,209

ZNF254	104,62,249

ZNF257	119,173,204

ZNF26	216,70,153

ZNF260	168,196,223

ZNF263	180,34,193

ZNF264	96,40,164

ZNF266	161,143,51

ZNF267	242,231,107

ZNF273	164,240,192

ZNF274	193,10,244

ZNF28	83,187,155

ZNF280A	179,205,182

ZNF280C	31,38,88

ZNF280D	254,194,253

ZNF281	113,221,136

ZNF282	143,140,179

ZNF283	63,124,66

ZNF284	183,114,164

ZNF285	30,11,230

ZNF287	216,63,151

ZNF292	106,196,153

ZNF3	202,29,115

